1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
289	-0.727842	145.199377	19.384393	0.027689	0.7
290	-0.707714	146.198983	19.268503	0.021519	0.7
291	-0.730803	145.521353	19.346913	0.029115	0.7
292	-0.736901	146.516151	19.232021	0.028830	0.7
293	-0.728863	147.516151	19.117895	0.028016	0.7
294	-0.735977	148.516151	19.005116	0.021765	0.7
295	-0.714758	147.737375	19.092830	0.028129	0.7
296	-0.740380	146.934598	19.184100	0.031263	0.7
297	-0.682939	146.133223	19.276084	0.025493	0.7
298	-0.720487	147.133223	19.161437	0.024952	0.7
299	-0.776573	148.133223	19.048145	0.031870	0.7
300	-0.704728	149.133223	18.936184	0.028861	0.7
301	-0.708125	148.330441	19.025959	0.020636	0.7
302	-0.764088	149.330439	18.914259	0.029154	0.7
303	-0.713007	150.330439	18.803863	0.023132	0.7
304	-0.723920	149.527657	18.892385	0.026537	0.7
305	-0.727737	150.527657	18.782243	0.016990	0.8
306	-0.711078	151.412984	18.685797	0.025268	0.7
307	-0.744945	152.407783	18.578601	0.019565	2.9
308	-0.747802	153.407782	18.472078	0.022232	0.7
309	-0.700277	152.605000	18.557496	0.020535	0.8
310	-0.716020	153.465417	18.465975	0.026890	0.7
311	-0.740306	154.454802	18.361846	0.028513	0.7
312	-0.761226	153.652020	18.446246	0.022676	0.7
313	-0.734883	154.652020	18.341230	0.021651	1.0
314	-0.754187	153.849238	18.425440	0.027019	0.7
315	-0.715402	153.046456	18.510426	0.025144	0.7
316	-0.725911	154.026643	18.406764	0.026058	0.7
317	-0.745532	153.223861	18.491578	0.023282	0.7
318	-0.758740	154.223861	18.386047	0.026120	0.7
319	-0.750572	153.422275	18.470543	0.021863	0.6
320	-0.744772	154.422270	18.365251	0.031414	0.7
321	-0.772638	155.422270	18.261153	0.026842	0.7
322	-0.741462	156.422270	18.158228	0.024700	0.7
323	-0.730312	155.619488	18.240762	0.022528	0.7
324	-0.711343	156.619488	18.138066	0.028162	0.7
325	-0.739011	155.817406	18.220345	0.025308	0.7
326	-0.808210	156.817406	18.117878	0.024775	0.7
327	-0.738761	156.056444	18.195746	0.024671	0.7
328	-0.763509	157.056444	18.093555	0.021332	0.7
329	-0.749026	158.056444	17.992506	0.023542	0.7
330	-0.730976	159.055296	17.892693	0.026310	0.7
331	-0.703870	158.252514	17.972825	0.021516	0.7
332	-0.731547	157.624699	18.035995	0.022813	0.7
333	-0.730308	158.624674	17.935588	0.021148	0.7
334	-0.731229	157.821892	18.016106	0.018804	0.7
335	-0.717111	158.821892	17.915917	0.027095	4.1
336	-0.729856	159.821872	17.816839	0.021374	0.7
337	-0.764314	159.036684	17.894542	0.023664	0.7
338	-0.742233	158.506729	17.947372	0.024982	0.7
339	-0.732743	159.506729	17.847945	0.021452	0.7
340	-0.726590	158.703947	17.927676	0.024649	0.7
341	-0.723266	159.684848	17.830350	0.021221	0.7
342	-0.736508	160.684843	17.732212	0.025957	0.7
343	-0.706323	161.684423	17.635188	0.024152	0.7
344	-0.718973	162.684423	17.539180	0.027409	0.7
345	-0.736631	163.684423	17.444211	0.030857	0.7
346	-0.749548	162.881641	17.520368	0.021142	0.7
347	-0.760699	163.881641	17.425603	0.024561	0.7
348	-0.712710	164.610125	17.357211	0.024700	0.7
349	-0.737736	165.610125	17.264198	0.021280	0.6
350	-0.722941	165.372263	17.286232	0.021461	0.7
351	-0.775070	166.372263	17.193975	0.024572	0.6
352	-0.743214	165.569487	17.267958	0.025135	0.7
353	-0.758466	166.569402	17.175904	0.021979	0.7
354	-0.763436	167.569267	17.084831	0.024480	0.7
355	-0.759597	168.569267	16.994707	0.028623	0.7
356	-0.686407	169.474770	16.913915	0.018830	0.7
357	-0.720569	168.688103	16.984060	0.024035	0.8
358	-0.708015	169.674671	16.896183	0.026261	0.7
359	-0.752048	168.871889	16.967620	0.025413	0.7
360	-0.746343	169.871889	16.878725	0.021010	0.7
361	-0.765785	170.871889	16.790756	0.020188	0.7
362	-0.736977	171.871888	16.703700	0.020804	0.7
363	-0.712635	172.867885	16.617884	0.031358	0.7
364	-0.745305	173.867885	16.532607	0.031507	0.7
365	-0.763300	174.867885	16.448200	0.022142	0.7
366	-0.713338	174.066216	16.515797	0.025280	0.7
367	-0.743792	175.066216	16.431561	0.025969	0.7
368	-0.743408	174.682427	16.463788	0.028549	0.7
369	-0.751243	175.682427	16.380081	0.028419	0.7
370	-0.751058	176.682427	16.297220	0.021176	0.7
371	-0.742947	177.680079	16.215386	0.024592	0.7
372	-0.756254	178.680079	16.134179	0.030365	0.7
373	-0.724802	177.877296	16.199306	0.021887	0.7
374	-0.764638	177.074515	16.264960	0.026522	0.7
